Subject,Artist,Attributed,Enjoyment
184,Computer,Human,1.8
184,Human,Computer,3.8
185,Computer,Computer,6.4
185,Human,Human,5.7
185,Computer,Human,5.2
185,Human,Computer,6.1
186,Computer,Computer,6
186,Human,Human,7.3
186,Computer,Human,7.2
186,Human,Computer,6.2
187,Computer,Computer,5.8
187,Human,Human,7
187,Computer,Human,6
187,Human,Computer,7
188,Computer,Computer,4.9
188,Human,Human,7.2
188,Computer,Human,4.4
188,Human,Computer,7.2
189,Computer,Computer,4.9
189,Human,Human,3.5
189,Computer,Human,4.9
189,Human,Computer,4.8
190,Computer,Computer,3.6
190,Human,Human,4
190,Computer,Human,5.1
190,Human,Computer,6.2
191,Computer,Computer,2.7
191,Human,Human,5.3
191,Computer,Human,7
191,Human,Computer,6.3
192,Computer,Computer,4.5
192,Human,Human,6.6
192,Computer,Human,5.9
192,Human,Computer,7.4
193,Computer,Computer,7.3
193,Human,Human,9.2
193,Computer,Human,7.2
193,Human,Computer,8.2
194,Computer,Computer,4.9
194,Human,Human,7.4
194,Computer,Human,7.6
194,Human,Computer,7.3
195,Computer,Computer,8
195,Human,Human,8.7
195,Computer,Human,6.6
195,Human,Computer,7.3
196,Computer,Computer,5.3
196,Human,Human,5.7
196,Computer,Human,6.9
196,Human,Computer,7
197,Computer,Computer,4.2
197,Human,Human,6.3
197,Computer,Human,4.7
197,Human,Computer,5.6
198,Computer,Computer,6.5
198,Human,Human,6.6
198,Computer,Human,6.3
198,Human,Computer,6.7
199,Computer,Computer,5.1
199,Human,Human,6.1
199,Computer,Human,4.7
199,Human,Computer,4.9
200,Computer,Computer,6.5
200,Human,Human,8.2
200,Computer,Human,5.2
200,Human,Computer,8
201,Computer,Computer,4.7
201,Human,Human,3.5
201,Computer,Human,5.3
201,Human,Computer,3.6
202,Computer,Computer,4.4
202,Human,Human,4.6
202,Computer,Human,4.9
202,Human,Computer,5.2
203,Computer,Computer,8.2
203,Human,Human,8.5
203,Computer,Human,8.3
203,Human,Computer,8.1
204,Computer,Computer,3.7
204,Human,Human,3.8
204,Computer,Human,3.6
204,Human,Computer,4.1
205,Computer,Computer,7.3
205,Human,Human,7.6
205,Computer,Human,7.1
205,Human,Computer,7.4
206,Computer,Computer,7.2
206,Human,Human,8.4
206,Computer,Human,6.2
206,Human,Computer,8.3
207,Computer,Computer,5.7
207,Human,Human,4.9
207,Computer,Human,5.4
207,Human,Computer,7.3
208,Computer,Computer,3.5
208,Human,Human,6.8
208,Computer,Human,6.6
208,Human,Computer,6.1
209,Computer,Computer,6.4
209,Human,Human,8.7
209,Computer,Human,5.2
209,Human,Computer,6.7
210,Computer,Computer,3.7
210,Human,Human,5.4
210,Computer,Human,3.8
210,Human,Computer,5.4
211,Computer,Computer,3.3
211,Human,Human,6
211,Computer,Human,4.1
211,Human,Computer,5
212,Computer,Computer,3.9
212,Human,Human,4.3
212,Computer,Human,3.4
212,Human,Computer,4
213,Computer,Computer,6.3
213,Human,Human,7.8
213,Computer,Human,5.6
213,Human,Computer,6.8
214,Computer,Computer,5.1
214,Human,Human,5.6
214,Computer,Human,5.7
214,Human,Computer,5.4
215,Computer,Computer,2
215,Human,Human,4
215,Computer,Human,4.7
215,Human,Computer,4
216,Computer,Computer,3.5
216,Human,Human,6.7
216,Computer,Human,5.9
216,Human,Computer,7.1
217,Computer,Computer,6.3
217,Human,Human,6.9
217,Computer,Human,7
217,Human,Computer,6.7
218,Computer,Computer,5.2
218,Human,Human,7.2
218,Computer,Human,6.6
218,Human,Computer,7.6
219,Computer,Computer,5.7
219,Human,Human,5.7
219,Computer,Human,6.6
219,Human,Computer,6.9
220,Computer,Computer,6.2
220,Human,Human,6.7
220,Computer,Human,6.4
220,Human,Computer,5.3
221,Computer,Computer,0.3
221,Human,Human,8
221,Computer,Human,0.6
221,Human,Computer,5.5
222,Computer,Computer,3.2
222,Human,Human,6.1
222,Computer,Human,3.9
222,Human,Computer,5.1
223,Computer,Computer,6.3
223,Human,Human,5.6
223,Computer,Human,6.4
223,Human,Computer,6.1
224,Computer,Computer,4.1
224,Human,Human,6.2
224,Computer,Human,4
224,Human,Computer,6.8
225,Computer,Computer,3.4
225,Human,Human,6.8
225,Computer,Human,5.5
225,Human,Computer,7.3
226,Computer,Computer,5.3
226,Human,Human,8
226,Computer,Human,7.5
226,Human,Computer,4.2
227,Computer,Computer,6
227,Human,Human,6.7
227,Computer,Human,6.2
227,Human,Computer,6
228,Computer,Computer,4.2
228,Human,Human,5.6
228,Computer,Human,5.3
228,Human,Computer,5.2
229,Computer,Computer,5.4
229,Human,Human,6
229,Computer,Human,4.9
229,Human,Computer,5.1
230,Computer,Computer,5.6
230,Human,Human,6.7
230,Computer,Human,5
230,Human,Computer,7.3
231,Computer,Computer,4.2
231,Human,Human,7.4
231,Computer,Human,5.4
231,Human,Computer,6.5
232,Computer,Computer,4
232,Human,Human,7.1
232,Computer,Human,4
232,Human,Computer,5.2
233,Computer,Computer,5
233,Human,Human,6.7
233,Computer,Human,5.7
233,Human,Computer,6.4
234,Computer,Computer,3.2
234,Human,Human,5.9
234,Computer,Human,5.4
234,Human,Computer,5.9
235,Computer,Computer,7.6
235,Human,Human,8.8
235,Computer,Human,7.1
235,Human,Computer,7.9
236,Computer,Computer,4.6
236,Human,Human,6.2
236,Computer,Human,4.9
236,Human,Computer,6.3
237,Computer,Computer,5.1
237,Human,Human,9.5
237,Computer,Human,5.4
237,Human,Computer,7.6
238,Computer,Computer,4.6
238,Human,Human,8.1
238,Computer,Human,5.1
238,Human,Computer,5.8
239,Computer,Computer,3.1
239,Human,Human,4.5
239,Computer,Human,5.1
239,Human,Computer,6
240,Computer,Computer,6.5
240,Human,Human,6.8
240,Computer,Human,5.2
240,Human,Computer,7.4
241,Computer,Computer,6
241,Human,Human,7.2
241,Computer,Human,7.5
241,Human,Computer,3.6
242,Computer,Computer,5
242,Human,Human,5.6
242,Computer,Human,6.2
